IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001372,Oban North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001374,Loch Awe,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001375,Mid Argyll,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001377,Knapdale,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001378,Whisky Isles,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001379,Kintyre Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001383,Cowal South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001384,Cowal North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001390,Helensburgh Centre,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001392,Lomond Shore,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001982,Badenoch and Strathspey South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001986,Nairn East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001988,Inverness East Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001989,Inverness Culloden and Balloch,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001990,Inverness Smithton,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001991,Inverness Westhill,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001992,Inverness Inshes,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001993,Inverness Slackbuie,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001994,Inverness Lochardil and Holm Mains,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001995,Inverness Drummond,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001996,Inverness Hilton,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001997,Inverness Drakies,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001998,"Inverness Central, Raigmore and Longman",S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02001999,Inverness Crown and Haugh,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002000,Inverness Ballifeary and Dalneigh,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002001,Inverness Muirtown,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002002,Inverness Merkinch,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002003,Inverness Scorguie,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002004,Inverness Kinmylies and South West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002005,Inverness West Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002006,Loch Ness,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002007,Lochalsh,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002008,Skye South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002009,Skye North East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002010,Skye North West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002011,Ross and Cromarty South West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002012,Ross and Cromarty North West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002013,Ross and Cromarty Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002014,Ross and Cromarty East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002015,Muir of Ord,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002016,Conon,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002017,Dingwall,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002018,Black Isle South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002019,Black Isle North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002020,Alness,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002021,Invergordon,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002022,Seaboard,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002023,Tain,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002024,Sutherland South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002025,Sutherland East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002026,Caithness South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002027,Wick South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002028,Wick North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002029,Caithness North East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002030,Caithness North West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002031,Thurso East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002032,Thurso West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S02002033,Sutherland North and West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
