SubHSCP,SubHSCPName,LocalityManagementArea,AdultServiceOperationalUnits,CA,HSCP,HB,Country
PH0000010,"Mull, Iona, Coll, Tiree and Colonsay","Oban, Lorn and the Isles",West,S12000035,S37000004,S08000022,S92000003
PH0000011,"Oban, Lorn and the Inner Isles","Oban, Lorn and the Isles",West,S12000035,S37000004,S08000022,S92000003
PH0000012,Mid Argyll,"Mid Argyll, Kintyre and Islay",West,S12000035,S37000004,S08000022,S92000003
PH0000013,Islay and Jura,"Mid Argyll, Kintyre and Islay",West,S12000035,S37000004,S08000022,S92000003
PH0000014,Kintyre,"Mid Argyll, Kintyre and Islay",West,S12000035,S37000004,S08000022,S92000003
PH0000015,Bute,Cowal and Bute,East,S12000035,S37000004,S08000022,S92000003
PH0000016,Cowal,Cowal and Bute,East,S12000035,S37000004,S08000022,S92000003
PH0000017,Helensburgh and Lomond,Helensburgh and Lomond,East,S12000035,S37000004,S08000022,S92000003
PH0000001,Lochaber,West,North & West,S12000017,S37000016,S08000022,S92000003
PH0000002,Badenoch and Strathspey,South,South & Mid,S12000017,S37000016,S08000022,S92000003
PH0000003,Nairn & Nairnshire,South,South & Mid,S12000017,S37000016,S08000022,S92000003
PH0000004,Inverness,South,South & Mid,S12000017,S37000016,S08000022,S92000003
PH0000005,"Skye, Lochalsh and West Ross",West,North & West,S12000017,S37000016,S08000022,S92000003
PH0000006,Mid Ross,Mid,South & Mid,S12000017,S37000016,S08000022,S92000003
PH0000007,East Ross,Mid,South & Mid,S12000017,S37000016,S08000022,S92000003
PH0000008,Sutherland,North,North & West,S12000017,S37000016,S08000022,S92000003
PH0000009,Caithness,North,North & West,S12000017,S37000016,S08000022,S92000003
